sigma	kappa	rootloss	rate	lo	hi	sigbar	ratio	nstable
0.6	9.85	0.06687908008905459	0.3558655926153187	0.3027911631154401	0.40894023319017536	0.4701775700204451	1.2761136180399029	1.0
0.61	9.85	0.06841280970391939	0.354132747084805	0.3023309985883501	0.4059343771366978	0.47061692075085465	1.2961709898291884	1.0
0.62	9.9	0.06990267646443808	0.35950308097244804	0.30800960166006125	0.41099653487018206	0.46998938122507217	1.3191787405577353	1.0
0.63	9.9	0.07115347197830525	0.3575016069383193	0.3072523271792959	0.4077508863155412	0.47047088322651054	1.339083931569647	1.0
0.64	9.9	0.07249044361006075	0.35553773050166027	0.3064962143044153	0.4045792758308173	0.47092569956458485	1.359025427135831	1.0
0.65	9.9	0.07390052969308665	0.3536095318353204	0.3057404388470153	0.4014789554310614	0.47135514716612814	1.3790026562941273	1.0
0.66	9.95	0.07507035718665069	0.3577498365975981	0.31026385386653643	0.4052358799339911	0.4709003032126699	1.401570556436716	1.0
0.67	9.95	0.07629532541703606	0.35565241422407884	0.3093045780435983	0.40200058642480946	0.4713528010063472	1.4214405824459668	1.0
0.68	10.0	0.07757871270070536	0.3592235985462467	0.31329924794704267	0.4051484462516916	0.47095160383234036	1.443885092367328	1.0
0.69	10.0	0.07865667784259912	0.3570027154331231	0.31217885392695527	0.40182673881119546	0.47141839324763135	1.4636679643459518	1.0
0.7	10.0	0.079836106105723	0.3548298822841625	0.3110755454096312	0.3985842281878378	0.4718567862567948	1.4835009697604404	1.0
0.71	10.05	0.0809195674161431	0.3577802009446041	0.31446769690850673	0.40109302252102835	0.471543820017609	1.5056925143743507	1.0
0.72	10.05	0.08200108735609438	0.35552081191115964	0.3132409169376398	0.39780072076677336	0.47198831936698304	1.5254614795672126	1.0
0.73	10.1	0.08306329136923477	0.3580781692027778	0.31625462443333063	0.3999017453967836	0.47172033578278644	1.5475270931210052	1.0
0.74	10.1	0.08407706123943169	0.35575656563269376	0.31492879299697596	0.39658460833603304	0.47216551385225103	1.5672470315813007	1.0
0.75	10.15	0.08508874370698294	0.3579733958511963	0.317609668923032	0.3983373735302721	0.47193923822904643	1.58918763104839	1.0
0.76	10.15	0.08606089475973781	0.3556082170379321	0.31620372549011566	0.3950132348826004	0.4723803970333478	1.6088728591892598	1.0
0.77	10.2	0.0870088133551619	0.3575277456203154	0.3185900193550163	0.39646549854204405	0.47219208694751547	1.6306922993514419	1.0
0.78	10.2	0.08796162577916519	0.35513328243305825	0.31711943731923825	0.39314730662789366	0.47262549503876733	1.6503553197781262	1.0
0.79	10.25	0.08884161909700626	0.3567906201359133	0.3192431453732065	0.39433834261717915	0.47247177402174356	1.672057556529596	1.0
0.8	10.3	0.08975812360700161	0.35827712525553695	0.32120384182840905	0.39535081279355855	0.4723327182021433	1.6937213306862762	1.0
0.81	10.3	0.09060633746213495	0.3558028656925223	0.3196080772625457	0.39199806927253417	0.472771538764231	1.7133011054710368	1.0
0.82	10.35	0.0914450926246352	0.35707521419774646	0.3213484560296781	0.3928020735750919	0.47266216098078234	1.734854337183424	1.0
0.83	10.4	0.09229633134147179	0.35820342216386086	0.32294923484699245	0.3934577864393948	0.47256706712158286	1.756364456489847	1.0
0.84	10.4	0.09309188673057182	0.3556812796104657	0.3212615567486154	0.3901010024723161	0.47300206778153453	1.775890756545214	1.0
0.85	10.45	0.0938711737157427	0.3566327502918618	0.3226777211083261	0.3905883335592115	0.4729321094261099	1.797298138693631	1.0
0.86	10.5	0.0946516608375449	0.35746208729036116	0.32397364664367884	0.3909505588380231	0.4728749155285859	1.8186627620936089	1.0
0.87	10.55	0.09542594177033795	0.3581757536751837	0.32515511071718095	0.39119677138248105	0.4728308528444674	1.8399814537613879	1.0
0.88	10.55	0.09615476063840526	0.3555953174918451	0.32335644255585066	0.387834331589058	0.4732624494873796	1.8594333882884295	1.0
0.89	10.6	0.09686876488688977	0.3561719046634855	0.32439002502562997	0.387954196053257	0.4732373607553021	1.8806630114315812	1.0
0.9	10.65	0.09757456069591719	0.35664966316648583	0.32532439526582885	0.38797556632392033	0.47322351048512956	1.9018497180694942	1.0
0.91	10.7	0.09826966196068382	0.35703412744708746	0.32616440784630263	0.3879040304102662	0.4732204482935732	1.9229938251431193	1.0
0.92	10.75	0.09895148820191402	0.35732952248556743	0.3269138602717697	0.387745240218372	0.47322811038934787	1.9440941478372262	1.0
0.93	10.8	0.09962018869017185	0.3575407283196416	0.32757807495121427	0.3875034058405642	0.47324611785285714	1.9651508272681868	1.0
0.94	10.85	0.10027403065566716	0.35767277933973585	0.3281609321079829	0.38718479550343754	0.47327387838106044	1.9861649732613196	1.0
0.95	10.9	0.10091275668610139	0.35773000824589435	0.3286663121280152	0.3867940208669624	0.4733108546136845	2.0071375729918306	1.0
0.96	10.95	0.10153739244270926	0.3577159638624043	0.3290979389046506	0.38633401123754607	0.4733565707608032	2.028069449753361	1.0
0.97	11.0	0.1021474433273785	0.3576338915336706	0.3294585227252754	0.38580932042237837	0.4734106962336348	2.0489608868518077	1.0
0.98	11.05	0.10274415235199741	0.3574884288203387	0.329752557298907	0.38522430666665924	0.47347248840204254	2.0698140314497993	1.0
0.99	11.1	0.1033283295051624	0.35728181674295534	0.3299823031941965	0.3845815404180209	0.4735416556695854	2.090629173055843	1.0
1.0	11.15	0.10390119337069888	0.3570173606162297	0.33015088143426924	0.3838842364547979	0.4736175966656365	2.111408036863921	1.0
