u	r765	mi765	r911	mi911	r838	mi838
6.6	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
6.8	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
7.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
7.2	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
7.4	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
7.6	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
7.8	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
8.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
8.2	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
8.4	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
8.6	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
8.8	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
9.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
9.2	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
9.4	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
9.6	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
9.8	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
10.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
10.2	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
10.4	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
10.6	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
10.8	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
11.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
11.2	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
11.4	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
11.6	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
11.8	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
12.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
12.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
13.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
13.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
14.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
14.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
15.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
15.5	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
16.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
17.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
18.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
19.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
20.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
21.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
22.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
23.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
24.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
25.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
26.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
27.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
28.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
29.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
30.0	1.0	0.3874521779329134	1.0	0.4377989233790037	1.0	0.41169918640624104
