sigma	kappa	rootloss	rate	lo	hi	sigbar	ratio	nstable
0.68	12.25	0.07829187106252773	0.36168048971093436	0.31579518878064117	0.40756640237039454	0.6910746029869705	0.9839748083070862	1.0
0.69	12.25	0.0791478183678389	0.35499385812326595	0.3107365756677572	0.39925115244123055	0.6955404815228912	0.9920342788520946	1.0
0.7	12.3	0.08049582104865025	0.36100989952346474	0.3168544771998597	0.40516635097797904	0.6918789284371654	1.011737706163676	1.0
0.71	12.3	0.08139278015108346	0.35492653674501445	0.31226874229349855	0.3975844641932521	0.6959335737697668	1.0202123115774362	1.0
0.72	12.35	0.08253681597075771	0.3595536668025398	0.31712892663087394	0.40197882550397723	0.6931546501426075	1.0387292357511695	1.0
0.73	12.35	0.0835749959977121	0.3539612055817829	0.3129249879303615	0.3949979468566722	0.6968611596735551	1.047554437302789	1.0
0.74	12.4	0.08451654257747818	0.357610212067572	0.31688596022236026	0.3983345928654044	0.6947057038227039	1.065199257654081	1.0
0.75	12.45	0.08568911833953122	0.3605923302805194	0.32025089340254487	0.40093436051623843	0.6929414597588635	1.0823425116762277	1.0
0.76	12.45	0.08650179220287695	0.3553458365019005	0.3162779198421425	0.39441405397307483	0.6964223167902561	1.0912918521950408	1.0
0.77	12.5	0.08744272235633217	0.3577515654177169	0.3190952636333228	0.396408263355922	0.6950315742644985	1.1078633381725647	1.0
0.78	12.55	0.08846396590662241	0.3597202346712293	0.32151392925909	0.3979266749107192	0.6939017556320108	1.124078435699547	1.0
0.79	12.55	0.0893061641289919	0.35481230632543653	0.31777777140211266	0.39184705806928255	0.6971385106064449	1.1332037865943947	1.0
0.8	12.6	0.09014932998002745	0.3564062122792202	0.3198290890878377	0.39298421259852057	0.6962512497889177	1.1490105048178165	1.0
0.81	12.65	0.09102258647048464	0.35769438164039	0.32159567720788756	0.39379350346338227	0.6955472036403387	1.164550724610265	1.0
0.82	12.7	0.09190024193954899	0.35871018866371074	0.32310739990801585	0.39431371311321717	0.6950089172124099	1.1798409771329452	1.0
0.83	12.7	0.09275509632211394	0.35411819949303885	0.3195769706034096	0.3886603467944519	0.6980129324593837	1.1890897165408842	1.0
0.84	12.75	0.09352058829028868	0.35492094134225705	0.32086667456316575	0.3889752929501498	0.6976089801637325	1.204112939891983	1.0
0.85	12.8	0.09428794828338323	0.3555191829265588	0.32196231722970947	0.3890767524632788	0.6973289193860323	1.2189369698712451	1.0
0.86	12.85	0.09504946748923102	0.35593765667766325	0.3228852641668032	0.3889906602451584	0.6971575507616057	1.233580557308026	1.0
0.87	12.9	0.09579943115802939	0.35619554044134283	0.32365231720838594	0.38873935047653096	0.6970836233968688	1.2480568626193147	1.0
0.88	12.95	0.09653513920656852	0.3563080027819319	0.32427681915778517	0.3883397434530699	0.6970979277877637	1.2623764394088433	1.0
0.89	13.0	0.09725579040685774	0.3562897420245091	0.3247720020728446	0.3878080674550054	0.697191432060832	1.27655039788605	1.0
0.9	13.05	0.09796249383986584	0.3561536189793232	0.3251500153113511	0.38715793289499906	0.6973561943864675	1.290588665082151	1.0
0.91	13.1	0.09865619745400334	0.35591098326913206	0.3254209320167163	0.3864018214898166	0.6975849534603874	1.3045006138477078	1.0
0.92	13.15	0.09933806929612504	0.35556983720642416	0.32559156115205	0.38554871689347353	0.6978724233649526	1.3182925262528762	1.0
0.93	13.2	0.10001079015127669	0.3551405744446183	0.32567185956100736	0.38460942103588713	0.6982119614572119	1.3319737434160137	1.0
0.94	13.3	0.10066029824014724	0.3581788806421295	0.3288853522880738	0.3874732310431614	0.6963645799484478	1.3498676226030746	1.0
0.95	13.35	0.10127764671929522	0.357481691872762	0.32870392631594547	0.3862594814309407	0.696871770488454	1.363235017159789	1.0
0.96	13.4	0.10189182113809092	0.35672077416480835	0.32845535008848675	0.3849869147222677	0.6974158564845064	1.3765101425125499	1.0
0.97	13.45	0.10250509242096802	0.35590264959564677	0.32814433305949325	0.3836617969574229	0.697991664729423	1.3897014090791775	1.0
0.98	13.5	0.1031212074657202	0.355033502392197	0.3277772991587752	0.38228977060477126	0.6985950139309854	1.4028156234404712	1.0
0.99	13.6	0.1036850492191113	0.35715329248128974	0.3301200788321852	0.38418691315935743	0.6973198685114854	1.4197214860853975	1.0
1.0	13.65	0.10425687771461692	0.3561011708054194	0.3295693689213408	0.38263374672538075	0.6980373865292205	1.4325880236475543	1.0
