alpha	u	rate	minc
0.765	28.5	1.0	0.3874521779329134
0.765	30.0	1.0	0.3874521779329134
0.765	31.5	1.0	0.3874521779329134
0.765	33.0	1.0	0.3874521779329134
0.765	34.5	1.0	0.3874521779329134
0.765	36.0	1.0	0.3874521779329134
0.765	37.5	1.0	0.3874521779329134
0.765	39.0	1.0	0.3874521779329134
0.765	40.5	1.0	0.3874521779329134
0.765	42.0	1.0	0.3874521779329134
0.765	43.5	1.0	0.3874521779329134
0.765	45.0	1.0	0.3874521779329134
0.765	46.5	1.0	0.3874521779329134
0.765	48.0	1.0	0.3874521779329134
0.765	49.5	1.0	0.3874521779329134
0.765	51.0	1.0	0.3874521779329134
0.765	52.5	1.0	0.3874521779329134
0.765	54.0	1.0	0.3874521779329134
0.765	55.5	1.0	0.3874521779329134
0.765	57.0	1.0	0.3874521779329134
0.765	58.5	1.0	0.3874521779329134
0.765	60.0	1.0	0.3874521779329134
0.838	0.0	0.0	0.4476498320574422
0.838	1.5	0.0	0.4476498320574422
0.838	3.0	0.0	0.4476498320574422
0.838	4.5	0.02173913043478256	0.4465644593095054
0.838	6.0	1.0	0.41169918640624104
0.838	7.5	1.0	0.41169918640624104
0.838	9.0	1.0	0.41169918640624104
0.838	10.5	1.0	0.41169918640624104
0.838	12.0	1.0	0.41169918640624104
0.838	13.5	1.0	0.41169918640624104
0.838	15.0	1.0	0.41169918640624104
0.838	16.5	1.0	0.41169918640624104
0.838	18.0	1.0	0.41169918640624104
0.838	19.5	1.0	0.41169918640624104
0.838	21.0	1.0	0.41169918640624104
0.838	22.5	1.0	0.41169918640624104
0.838	24.0	1.0	0.41169918640624104
0.838	25.5	1.0	0.41169918640624104
0.838	27.0	1.0	0.41169918640624104
0.838	28.5	1.0	0.41169918640624104
0.838	30.0	1.0	0.41169918640624104
0.838	31.5	1.0	0.41169918640624104
0.838	33.0	1.0	0.41169918640624104
0.838	34.5	1.0	0.41169918640624104
0.838	36.0	1.0	0.41169918640624104
0.838	37.5	1.0	0.41169918640624104
0.838	39.0	1.0	0.41169918640624104
0.838	40.5	1.0	0.41169918640624104
0.838	42.0	1.0	0.41169918640624104
0.838	43.5	1.0	0.41169918640624104
0.838	45.0	1.0	0.41169918640624104
0.838	46.5	1.0	0.41169918640624104
0.838	48.0	1.0	0.41169918640624104
0.838	49.5	1.0	0.41169918640624104
0.838	51.0	1.0	0.41169918640624104
0.838	52.5	1.0	0.41169918640624104
0.838	54.0	1.0	0.41169918640624104
0.838	55.5	1.0	0.41169918640624104
0.838	57.0	1.0	0.41169918640624104
0.838	58.5	1.0	0.41169918640624104
0.838	60.0	1.0	0.41169918640624104
0.911	0.0	0.0	0.4839920657166977
0.911	1.5	0.0	0.4839920657166977
0.911	3.0	0.0	0.4839920657166977
0.911	4.5	0.2319902319902318	0.465226910223992
0.911	6.0	1.0	0.4377989233790037
0.911	7.5	1.0	0.4377989233790037
0.911	9.0	1.0	0.4377989233790037
0.911	10.5	1.0	0.4377989233790037
0.911	12.0	1.0	0.4377989233790037
0.911	13.5	1.0	0.4377989233790037
0.911	15.0	1.0	0.4377989233790037
0.911	16.5	1.0	0.4377989233790037
0.911	18.0	1.0	0.4377989233790037
0.911	19.5	1.0	0.4377989233790037
0.911	21.0	1.0	0.4377989233790037
0.911	22.5	1.0	0.4377989233790037
0.911	24.0	1.0	0.4377989233790037
0.911	25.5	1.0	0.4377989233790037
0.911	27.0	1.0	0.4377989233790037
0.911	28.5	1.0	0.4377989233790037
0.911	30.0	1.0	0.4377989233790037
0.911	31.5	1.0	0.4377989233790037
0.911	33.0	1.0	0.4377989233790037
0.911	34.5	1.0	0.4377989233790037
0.911	36.0	1.0	0.4377989233790037
0.911	37.5	1.0	0.4377989233790037
0.911	39.0	1.0	0.4377989233790037
0.911	40.5	1.0	0.4377989233790037
0.911	42.0	1.0	0.4377989233790037
0.911	43.5	1.0	0.4377989233790037
0.911	45.0	1.0	0.4377989233790037
0.911	46.5	1.0	0.4377989233790037
0.911	48.0	1.0	0.4377989233790037
0.911	49.5	1.0	0.4377989233790037
0.911	51.0	1.0	0.4377989233790037
0.911	52.5	1.0	0.4377989233790037
0.911	54.0	1.0	0.4377989233790037
0.911	55.5	1.0	0.4377989233790037
0.911	57.0	1.0	0.4377989233790037
0.911	58.5	1.0	0.4377989233790037
0.911	60.0	1.0	0.4377989233790037
